ssyk96,ssyk96_occ_title,tot_earnings_1962,tot_earnings_1963,tot_earnings_1964,tot_earnings_1965,tot_earnings_1966,tot_earnings_1967,tot_earnings_1968,tot_earnings_1969,tot_earnings_1970,tot_earnings_1971,tot_earnings_1972,tot_earnings_1973,tot_earnings_1974,tot_earnings_1975,obs_1962,obs_1963,obs_1964,obs_1965,obs_1966,obs_1967,obs_1968,obs_1969,obs_1970,obs_1971,obs_1972,obs_1973,obs_1974,obs_1975,log_ratio,sum_reasoning_ability,sum_knowledge,share_emp_1962,share_emp_1975,share_earn_1962,share_earn_1975,d_share_emp,d_share_earn,d_share_emp_t,d_share_earn_t,sector,x_plot,y_plot
2419,Business professionals not elsewhere classified,1383613,1296248,1561570,1895905,2022344,2774050,2140423,2163357,2771263,3253541,2966857,3106977,3429192,3301011,217,223,266,302,295,379,324,342,398,442,446,454,501,468,0.406716428540637,0.710354794951495,0.474367622556834,0.00488221927239184,0.00826256598577003,0.0102836901255681,0.0163788609537979,0.00338034671337819,0.00609517082822983,0.869082781611311,1.13245552568407,Management and sales,0.46,0.83
2421,Lawyers,524138,448071,636754,613501,454018,524277,507928,543004,537297,593832,633328,569517,683567,617492,74,73,91,89,64,67,74,76,66,69,78,78,95,85,0.48772521847382,0.708,0.434727272727273,0.00166490426800459,0.00150067971963772,0.00389565057211445,0.00306385395507091,-0.000164224548366871,-0.000831796617043545,-0.0574154180714608,-0.283298354369109,"",,
2422,Judges,47143,56487,30128,55456,80547,54974,48112,49519,63897,119648,68698,113188,84554,96851,10,11,5,13,17,11,12,9,12,20,14,17,17,15,0.557554750154808,0.724436760124611,0.414769017275559,0.000224987063243863,0.000264825832877244,0.000350389887627288,0.000480552492020256,3.98387696333809e-05,0.000130162604392968,0.0139426658262976,0.0455254339657811,"",,
2423,Corporate legal officers,448413,306072,339466,494929,517803,644087,720007,607464,591247,644302,631382,875659,748513,680889,69,54,66,97,94,108,115,108,94,99,97,128,120,105,0.527324623146026,0.666666666666667,0.393454545454545,0.00155241073638266,0.00185378083014071,0.00333282524830017,0.00337841535698321,0.000301370093758053,4.55901086830308e-05,0.105090937594853,0.0159551840086384,"",,
2429,Legal professionals not elsewhere classified,145426,237263,187125,234757,145895,222705,181886,188750,261228,209665,256541,197597,300871,271867,36,51,44,57,31,57,40,37,39,38,45,43,45,56,0.527324623146026,0.666666666666667,0.393454545454545,0.000809953427677909,0.000988683109408379,0.00108087732639174,0.00134894182143779,0.000178729681730471,0.000268064495046042,0.062473982891446,0.0935487216456771,"",,
2431,Archivists and curators,119604,62476,107232,88242,124494,91718,128511,89591,97130,106923,117200,107840,100707,100765,40,24,38,39,47,34,44,31,37,39,38,37,34,37,0.289722611597063,0.637971329639889,0.477330101569714,0.000899948252975454,0.000653237054430536,0.000888955563281381,0.000499972864073899,-0.000246711198544918,-0.000388982699207483,-0.086135264743191,-0.135312026602144,"",,
2432,Librarians and related information professionals,53288,78523,81664,70821,46623,54338,62311,74252,87254,87275,106059,146832,158301,107344,23,31,36,26,19,24,23,28,26,31,39,40,58,42,0.277811194496705,0.634048200597635,0.480053322624714,0.000517470245460886,0.000741512332056284,0.000396062540183759,0.000532616356087417,0.000224042086595398,0.000136553815903658,0.0782546000077012,0.04775749432639,"",,
2441,Economists,58573,55575,76726,98176,89779,138929,90041,138531,157232,133697,104615,139264,130296,197346,12,13,18,21,22,28,20,31,31,24,23,26,25,35,0.666569322582984,0.796,0.408727272727273,0.000269984475892636,0.000617926943380237,0.000435343251129397,0.000979185677899346,0.000347942467487601,0.000543842426769949,0.121183152281064,0.188094759514638,"",,
2442,"Sociologists, archaeologists and related professionals",60931,42517,34290,60063,68383,84166,67709,44924,43866,72402,67383,58863,56113,53146,25,14,10,21,22,25,20,19,14,18,18,16,16,18,0.391534511304828,0.717857467034652,0.485856073151013,0.000562467658109659,0.000317790999452693,0.000452869063127469,0.000263698286449376,-0.000244676658656965,-0.000189170776678093,-0.085428402895404,-0.0661132768420102,"",,
2443,"Philosophers, historians and political scientists",87161,149423,93136,120952,157486,15268,33423,37601,17429,40483,31794,12204,23863,44435,24,40,28,33,39,7,9,9,5,8,8,4,6,13,0.391534511304828,0.717857467034652,0.485856073151013,0.000539968951785272,0.000229515721826945,0.000647823282257855,0.000220476298467957,-0.000310453229958327,-0.000427346983789898,-0.108234001320808,-0.148470795929387,"",,
